¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2351"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,48.80,5000,0,,2,1020¦X¡@¡@®w,49.30,3000,0 
3,1020¦X¡@¡@®w,49.35,2000,0,,4,1020¦X¡@¡@®w,52.00,1000,0 
5,1020¦X¡@¡@®w,53.10,0,1000,,6,1021¦X®w¥x¤¤,49.00,0,1000 
7,1021¦X®w¥x¤¤,50.40,1000,0,,8,1021¦X®w¥x¤¤,50.50,0,6000 
9,1021¦X®w¥x¤¤,50.80,2000,0,,10,1021¦X®w¥x¤¤,52.10,0,1000 
11,1021¦X®w¥x¤¤,52.90,0,4000,,12,1021¦X®w¥x¤¤,53.70,5000,0 
13,1022¦X®w¥x«n,49.80,0,1000,,14,1022¦X®w¥x«n,52.80,0,1000 
15,1023¦X®w°ª¶¯,52.90,1000,0,,16,1023¦X®w°ª¶¯,53.20,0,1000 
17,1023¦X®w°ª¶¯,53.30,0,1000,,18,1024¦X®w¹Å¸q,49.80,5000,0 
19,1024¦X®w¹Å¸q,49.90,5000,0,,20,1025¦X®w°ò¶©,49.10,1000,0 
21,1025¦X®w°ò¶©,53.20,0,1000,,22,1028¦X®w¹ü¤Æ,50.20,0,3000 
23,1028¦X®w¹ü¤Æ,53.20,1000,20000,,24,1028¦X®w¹ü¤Æ,53.30,0,5000 
25,102A¦X®w·s¦Ë,50.80,0,1000,,26,102C¦X®w¦Û±j,49.50,0,1000 
27,102C¦X®w¦Û±j,50.80,1000,0,,28,102C¦X®w¦Û±j,52.80,5000,0 
29,102E¦X®w®ç¶é,53.10,0,1000,,30,1030¤g¡@¡@»È,50.80,5000,0 
31,1033¤g»È°ª¶¯,49.30,0,2000,,32,1033¤g»È°ª¶¯,49.45,0,2000 
33,1033¤g»È°ª¶¯,49.95,1000,0,,34,1033¤g»È°ª¶¯,52.00,1000,0 
35,1033¤g»È°ª¶¯,52.90,0,2000,,36,103A¤g»È«Ø°ê,49.35,1000,0 
37,103B¤g»È¹ü¤Æ,52.00,0,1000,,38,103B¤g»È¹ü¤Æ,52.30,0,5000 
39,103B¤g»È¹ü¤Æ,52.70,1000,0,,40,1040»O    »È,51.10,0,1000 
41,1040»O    »È,52.30,0,10000,,42,1040»O    »È,53.00,0,1000 
43,1040»O    »È,53.30,0,1000,,44,1041»O»È»ñ¤s,49.40,2000,0 
45,1041»O»È»ñ¤s,49.50,1000,0,,46,1041»O»È»ñ¤s,49.55,0,10000 
47,1041»O»È»ñ¤s,49.85,0,8000,,48,1041»O»È»ñ¤s,50.20,0,7000 
