¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2351"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,58.10,1000,0,,2,1020¦X¡@¡@®w,58.30,0,2000 
3,1020¦X¡@¡@®w,58.60,0,10000,,4,1020¦X¡@¡@®w,59.00,0,1000 
5,1020¦X¡@¡@®w,59.10,2000,0,,6,1021¦X®w¥x¤¤,56.50,0,1000 
7,1021¦X®w¥x¤¤,57.80,1000,0,,8,1021¦X®w¥x¤¤,57.90,1000,0 
9,1021¦X®w¥x¤¤,58.10,0,1000,,10,1021¦X®w¥x¤¤,58.20,0,1000 
11,1021¦X®w¥x¤¤,58.30,0,1000,,12,1021¦X®w¥x¤¤,58.80,1000,0 
13,1021¦X®w¥x¤¤,59.00,4000,0,,14,1023¦X®w°ª¶¯,57.30,1000,0 
15,1023¦X®w°ª¶¯,58.80,0,1000,,16,1025¦X®w°ò¶©,58.00,1000,0 
17,1025¦X®w°ò¶©,58.40,0,1000,,18,1028¦X®w¹ü¤Æ,58.50,2000,0 
19,1028¦X®w¹ü¤Æ,59.40,0,2000,,20,102C¦X®w¦Û±j,57.70,1000,0 
21,102C¦X®w¦Û±j,58.50,2000,0,,22,102C¦X®w¦Û±j,58.70,0,1000 
23,102C¦X®w¦Û±j,59.00,0,5000,,24,102E¦X®w®ç¶é,57.70,1000,0 
25,102G¦X®w¤T­«,58.80,1000,0,,26,1030¤g¡@¡@»È,56.50,0,1000 
27,1030¤g¡@¡@»È,58.00,0,4000,,28,1035¤g»È·s¦Ë,58.20,0,10000 
29,103F¤g»È«n´ä,56.50,1000,0,,30,103F¤g»È«n´ä,56.60,1000,0 
31,103F¤g»È«n´ä,57.70,2000,0,,32,103F¤g»È«n´ä,58.50,0,1000 
33,103F¤g»È«n´ä,58.60,0,3000,,34,1040»O    »È,57.60,2000,0 
35,1041»O»È»ñ¤s,56.50,0,2000,,36,1041»O»È»ñ¤s,57.40,1000,0 
37,1041»O»È»ñ¤s,58.00,1000,0,,38,1042»O»È»O«n,57.40,1000,0 
39,1042»O»È»O«n,57.80,1000,0,,40,1042»O»È»O«n,58.20,2000,0 
41,1042»O»È»O«n,58.80,0,2000,,42,1042»O»È»O«n,59.00,0,1000 
43,1043»O»È¥ÁÅv,56.50,0,1000,,44,1043»O»È¥ÁÅv,58.80,1000,0 
45,1045»O»È·s¦Ë,57.20,0,1000,,46,1045»O»È·s¦Ë,57.80,1000,0 
