¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1904"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1021¦X®w¥x¤¤,33.55,100,0,,2,1021¦X®w¥x¤¤,33.60,1000,0 
3,1021¦X®w¥x¤¤,33.90,1000,0,,4,1022¦X®w¥x«n,33.55,0,100 
5,1022¦X®w¥x«n,33.65,2000,0,,6,1023¦X®w°ª¶¯,33.55,0,1000 
7,1029¦X®w»ñ¤s,33.75,0,1000,,8,1029¦X®w»ñ¤s,33.80,0,1000 
9,102A¦X®w·s¦Ë,33.40,0,10000,,10,102C¦X®w¦Û±j,33.60,0,4000 
11,102C¦X®w¦Û±j,33.80,0,2000,,12,102F¦X®w¦è¥x,33.45,2000,0 
13,102F¦X®w¦è¥x,33.95,0,5000,,14,102G¦X®w¤T­«,33.40,1000,0 
15,1030¤g¡@¡@»È,33.55,0,272,,16,1031¤g»È¥x¤¤,33.55,1,0 
17,1038¤g»È©M¥­,34.00,0,1000,,18,1039¤g»È¤hªL,33.40,1000,0 
19,1039¤g»È¤hªL,33.50,1000,2000,,20,1039¤g»È¤hªL,33.55,1000,0 
21,1039¤g»È¤hªL,33.75,0,1000,,22,103A¤g»È«Ø°ê,33.60,4000,0 
23,103B¤g»È¹ü¤Æ,33.55,0,120,,24,1040»O    »È,33.40,3000,1000 
25,1040»O    »È,33.45,1000,0,,26,1040»O    »È,33.50,2000,0 
27,1040»O    »È,33.55,4000,163,,28,1040»O    »È,33.65,1000,0 
29,1040»O    »È,33.70,1000,3000,,30,1040»O    »È,33.95,0,2000 
31,1040»O    »È,34.10,0,1000,,32,1041»O»È»ñ¤s,33.55,0,3138 
33,1041»O»È»ñ¤s,33.65,5,0,,34,1041»O»È»ñ¤s,33.70,0,1000 
35,1042»O»È»O«n,33.45,1000,0,,36,1042»O»È»O«n,33.55,100,0 
37,1042»O»È»O«n,34.30,0,120,,38,1043»O»È¥ÁÅv,33.70,1000,0 
39,1045»O»È·s¦Ë,33.50,2000,0,,40,1045»O»È·s¦Ë,33.55,7000,2000 
41,1045»O»È·s¦Ë,33.60,2000,0,,42,104A»O»È»O¤¤,33.35,0,1000 
43,104A»O»È»O¤¤,33.50,5000,0,,44,104A»O»È»O¤¤,33.55,1000,474 
45,104A»O»È»O¤¤,33.65,0,20,,46,104A»O»È»O¤¤,33.80,1000,5000 
47,104C»O»È°ª¶¯,33.50,1,0,,48,104C»O»È°ª¶¯,33.55,1000,0 
49,104C»O»È°ª¶¯,33.60,4000,0,,50,1111¥ø»È¥x¤¤,33.40,2000,0 
51,1111¥ø»È¥x¤¤,33.55,6000,0,,52,1116¥ø»È«ÌªF,33.65,1000,0 
53,1116¥ø»È«ÌªF,33.80,2000,0,,54,1117¥ø»È¦Ë¥_,33.40,8000,0 
55,1117¥ø»È¦Ë¥_,33.45,2000,0,,56,1117¥ø»È¦Ë¥_,33.50,5000,0 
57,1117¥ø»È¦Ë¥_,33.55,4030,0,,58,1117¥ø»È¦Ë¥_,33.70,2000,5000 
59,1117¥ø»È¦Ë¥_,33.80,4000,4000,,60,1117¥ø»È¦Ë¥_,34.10,0,2000 
61,1119¥ø»È©£¤s,33.65,2000,0,,62,111E¥ø»È®ç¶é,33.65,3000,0 
63,111E¥ø»È®ç¶é,33.70,7000,0,,64,111G¥ø»È®HáY,33.60,1000,0 
65,1160¤é    ²±,33.35,0,1000,,66,1160¤é    ²±,33.40,0,6000 
67,1160¤é    ²±,33.45,0,5000,,68,1160¤é    ²±,33.50,0,3000 
69,1160¤é    ²±,33.55,0,7000,,70,1160¤é    ²±,33.60,0,12000 
71,1160¤é    ²±,33.65,0,11000,,72,1160¤é    ²±,33.70,0,4000 
73,1160¤é    ²±,33.75,0,2000,,74,1160¤é    ²±,33.80,2000,2000 
75,1160¤é    ²±,33.90,4000,1000,,76,1160¤é    ²±,33.95,0,1000 
77,1160¤é    ²±,34.00,0,1000,,78,1161¤é²±©¾§µ,33.70,1000,0 
79,1161¤é²±©¾§µ,33.75,3000,0,,80,1162¤é²±¥x«n,33.70,3000,1000 
81,1162¤é²±¥x«n,33.75,1000,0,,82,1163¤é²±¥x¤¤,33.50,1000,2 
83,1163¤é²±¥x¤¤,33.65,5020,0,,84,1163¤é²±¥x¤¤,34.00,0,1000 
85,1165¤é²±ªO¾ô,33.50,3000,0,,86,1166¤é²±Âù©M,33.55,0,3000 
87,1166¤é²±Âù©M,33.70,1000,0,,88,1166¤é²±Âù©M,34.10,2000,0 
89,1168¤é²±°ª¶¯,33.75,1000,0,,90,116b¤é²±¶é°Ï,33.90,4,0 
91,116b¤é²±¶é°Ï,34.10,496,0,,92,116B¤é²±¤¤Ãc,33.65,0,1000 
93,116B¤é²±¤¤Ãc,34.10,10,0,,94,116C¤é²±¤K¼w,33.55,0,10000 
95,116d¤é²±¤T®l,34.30,5,0,,96,116e¤é²±¦Ë¥_,33.55,1000,0 
97,116e¤é²±¦Ë¥_,33.65,0,1000,,98,116e¤é²±¦Ë¥_,33.80,1000,0 
99,116e¤é²±¦Ë¥_,34.00,0,1000,,100,116f¤é²±´_¿³,33.55,1000,0 
101,116F¤é²±­ûªL,33.50,2000,125,,102,116F¤é²±­ûªL,33.55,0,155 
103,116F¤é²±­ûªL,33.60,0,90,,104,116F¤é²±­ûªL,33.80,0,2000 
105,116g¤é²±Às¼æ,33.60,5000,0,,106,116G¤é²±´º¬ü,33.40,21000,0 
107,116G¤é²±´º¬ü,33.65,0,20000,,108,116H¤é²±·s¦Ë,33.60,5000,0 
109,116H¤é²±·s¦Ë,33.75,0,1000,,110,116I¤é²±«n¨Ê,33.45,5000,0 
111,116j¤é²±ÀY¥÷,33.55,1000,6000,,112,116j¤é²±ÀY¥÷,33.80,2000,0 
113,116j¤é²±ÀY¥÷,33.95,3000,0,,114,116J¤é²±¤¤¤s,33.40,1000,0 
115,116k¤é²±¥_°ª,33.70,1000,0,,116,116k¤é²±¥_°ª,34.10,0,1000 
117,116K¤é²±ªá½¬,33.50,1000,0,,118,116L¤é²±¤j¼[,33.55,2000,4000 
119,116L¤é²±¤j¼[,33.60,2000,0,,120,116L¤é²±¤j¼[,33.80,2000,0 
121,116m¤é²±©M¬ü,33.65,0,80,,122,116M¤é²±«ÌªF,33.55,1000,0 
123,116M¤é²±«ÌªF,33.95,0,1000,,124,116N¤é²±¥Ã±d,33.60,0,2000 
125,116N¤é²±¥Ã±d,33.70,2000,0,,126,116P¤é²±«H¸q,33.50,1000,0 
127,116P¤é²±«H¸q,33.55,3000,1001,,128,116P¤é²±«H¸q,33.60,1000,1000 
129,116P¤é²±«H¸q,33.90,1000,0,,130,116P¤é²±«H¸q,34.00,1000,0 
131,116Q¤é²±¤GªL,33.55,1000,0,,132,116Q¤é²±¤GªL,33.70,2000,0 
133,116Q¤é²±¤GªL,33.90,1000,0,,134,116Q¤é²±¤GªL,34.05,1000,0 
135,116r¤é²±¤å¤Æ,33.70,0,2000,,136,116S¤é²±·s²ø,34.30,0,415 
137,116U¤é²±®ç¶é,33.50,1000,0,,138,116U¤é²±®ç¶é,33.70,0,8000 
139,116V¤é²±¤æ¤»,33.60,0,15000,,140,116V¤é²±¤æ¤»,33.75,0,5000 
141,116V¤é²±¤æ¤»,33.80,0,5000,,142,116Z¤é²±¤¤©M,33.35,3000,0 
143,116Z¤é²±¤¤©M,33.75,4000,0,,144,116Z¤é²±¤¤©M,34.20,0,1000 
145,1230¹ü    »È,33.55,2000,0,,146,1233¹ü»È¥x¤¤,33.75,0,1000 
147,1260§»    »·,33.35,0,1000,,148,1260§»    »·,33.40,0,6000 
149,1260§»    »·,33.45,0,6000,,150,1260§»    »·,33.50,0,1000 
151,1260§»    »·,33.55,0,2010,,152,1260§»    »·,33.60,0,11000 
153,1260§»    »·,33.65,0,12000,,154,1260§»    »·,33.70,0,4000 
155,1260§»    »·,33.75,0,2000,,156,1260§»    »·,33.80,0,2000 
157,1260§»    »·,33.90,0,1000,,158,1260§»    »·,33.95,0,1000 
159,1260§»    »·,34.00,0,1000,,160,1262§»»·®ç¶é,33.55,0,2000 
161,1262§»»·®ç¶é,33.60,1000,0,,162,126L§»»·¥x¤¤,33.35,0,1000 
163,126L§»»·¥x¤¤,33.65,0,1000,,164,126L§»»·¥x¤¤,34.05,0,15000 
165,126Q§»»·°ª¶¯,33.50,57,0,,166,126Q§»»·°ª¶¯,34.10,0,57 
167,126U§»»·À]«e,33.45,469,30000,,168,126U§»»·À]«e,33.50,0,47000 
169,126U§»»·À]«e,33.55,100467,2000,,170,126U§»»·À]«e,33.60,80,17000 
171,126U§»»·À]«e,33.70,0,5000,,172,126U§»»·À]«e,34.10,0,80 
173,1380¥xÆW¶×¥ß,33.35,24000,0,,174,1380¥xÆW¶×¥ß,33.40,126000,0 
175,1380¥xÆW¶×¥ß,33.45,139000,0,,176,1380¥xÆW¶×¥ß,33.50,115000,0 
