¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2421"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,60.60,4000,0,,2,1020¦X¡@¡@®w,60.80,1000,0 
3,1020¦X¡@¡@®w,60.90,2000,0,,4,1020¦X¡@¡@®w,61.00,2000,0 
5,1020¦X¡@¡@®w,61.10,1000,0,,6,1020¦X¡@¡@®w,61.40,0,4000 
7,1020¦X¡@¡@®w,61.50,0,2000,,8,1020¦X¡@¡@®w,61.70,0,2000 
9,1020¦X¡@¡@®w,61.80,0,2000,,10,1020¦X¡@¡@®w,62.00,1000,0 
11,1020¦X¡@¡@®w,62.60,0,30000,,12,1021¦X®w¥x¤¤,60.40,1000,0 
13,1021¦X®w¥x¤¤,60.80,1000,0,,14,1021¦X®w¥x¤¤,61.40,0,1000 
15,1021¦X®w¥x¤¤,61.50,1000,0,,16,1021¦X®w¥x¤¤,62.10,0,1000 
17,1022¦X®w¥x«n,61.50,0,1000,,18,1022¦X®w¥x«n,62.00,1000,0 
19,1023¦X®w°ª¶¯,60.40,1000,0,,20,1023¦X®w°ª¶¯,60.50,0,1000 
21,1023¦X®w°ª¶¯,61.00,3000,0,,22,1023¦X®w°ª¶¯,61.60,0,5000 
23,1023¦X®w°ª¶¯,61.80,0,5000,,24,1023¦X®w°ª¶¯,62.00,0,5000 
25,1023¦X®w°ª¶¯,62.40,0,1000,,26,1023¦X®w°ª¶¯,62.50,0,7000 
27,1024¦X®w¹Å¸q,61.80,2000,2000,,28,1024¦X®w¹Å¸q,62.00,0,2000 
29,1025¦X®w°ò¶©,60.90,0,2000,,30,1025¦X®w°ò¶©,62.40,2000,0 
31,1028¦X®w¹ü¤Æ,60.70,0,2000,,32,1028¦X®w¹ü¤Æ,61.70,0,1000 
33,1028¦X®w¹ü¤Æ,62.60,1000,0,,34,1029¦X®w»ñ¤s,61.80,3000,0 
35,102A¦X®w·s¦Ë,60.90,2000,0,,36,102A¦X®w·s¦Ë,61.40,0,1000 
37,102C¦X®w¦Û±j,61.00,0,1000,,38,102C¦X®w¦Û±j,61.30,1000,0 
39,102C¦X®w¦Û±j,61.50,0,1000,,40,102C¦X®w¦Û±j,61.60,0,1000 
41,102E¦X®w®ç¶é,60.60,1000,1000,,42,102E¦X®w®ç¶é,61.60,0,1000 
43,102E¦X®w®ç¶é,61.80,1000,0,,44,102E¦X®w®ç¶é,62.10,1000,0 
45,102E¦X®w®ç¶é,62.20,0,4000,,46,102F¦X®w¦è¥x,60.70,0,3000 
47,102F¦X®w¦è¥x,62.00,3000,0,,48,102G¦X®w¤T­«,61.60,1000,0 
49,102G¦X®w¤T­«,62.10,1000,0,,50,1032¤g»È¥x«n,60.90,1000,0 
51,1032¤g»È¥x«n,61.40,0,1000,,52,1033¤g»È°ª¶¯,61.00,0,1000 
53,1037¤g»Èªá½¬,62.10,0,3000,,54,103C¤g»È¥Õªe,60.70,0,2000 
55,103C¤g»È¥Õªe,60.80,1000,0,,56,103C¤g»È¥Õªe,61.60,2000,0 
57,103C¤g»È¥Õªe,62.00,2000,0,,58,1040»O    »È,60.50,1000,0 
59,1040»O    »È,61.20,0,2000,,60,1040»O    »È,61.60,0,1000 
61,1040»O    »È,61.80,0,1000,,62,1040»O    »È,62.50,0,1000 
63,1041»O»È»ñ¤s,60.50,1000,0,,64,1041»O»È»ñ¤s,61.00,6000,0 
65,1041»O»È»ñ¤s,61.20,0,1000,,66,1041»O»È»ñ¤s,61.40,1000,0 
67,1041»O»È»ñ¤s,61.90,1000,5000,,68,1041»O»È»ñ¤s,62.00,0,5000 
69,1041»O»È»ñ¤s,62.20,0,1000,,70,1042»O»È»O«n,59.90,1000,0 
71,1042»O»È»O«n,60.30,3000,0,,72,1042»O»È»O«n,60.40,0,5000 
73,1042»O»È»O«n,60.60,0,9000,,74,1042»O»È»O«n,60.70,0,3000 
75,1042»O»È»O«n,60.80,0,1000,,76,1042»O»È»O«n,60.90,1000,1000 
77,1042»O»È»O«n,61.00,0,1000,,78,1042»O»È»O«n,61.20,0,1000 
79,1042»O»È»O«n,61.40,1000,0,,80,1042»O»È»O«n,61.50,1000,0 
81,1042»O»È»O«n,61.60,0,2000,,82,1042»O»È»O«n,62.00,2000,0 
83,1045»O»È·s¦Ë,60.40,1000,0,,84,1045»O»È·s¦Ë,60.90,0,1000 
85,1045»O»È·s¦Ë,61.00,1000,0,,86,1045»O»È·s¦Ë,61.40,4000,0 
87,1045»O»È·s¦Ë,61.50,0,2000,,88,1045»O»È·s¦Ë,61.70,0,4000 
89,1045»O»È·s¦Ë,62.20,1000,0,,90,1045»O»È·s¦Ë,62.50,1000,1000 
91,104A»O»È»O¤¤,59.30,5000,0,,92,104A»O»È»O¤¤,59.40,1000,0 
93,104A»O»È»O¤¤,60.20,1000,0,,94,104A»O»È»O¤¤,61.10,1000,0 
95,104A»O»È»O¤¤,61.30,0,5000,,96,104A»O»È»O¤¤,61.70,0,1000 
97,104A»O»È»O¤¤,61.90,0,1000,,98,104A»O»È»O¤¤,62.00,0,5000 
99,104C»O»È°ª¶¯,60.50,5000,0,,100,104C»O»È°ª¶¯,61.00,0,1000 
101,104D»O»Èª÷¤s,60.60,1000,0,,102,104D»O»Èª÷¤s,60.70,3000,0 
103,104D»O»Èª÷¤s,60.80,1000,1000,,104,104D»O»Èª÷¤s,61.00,1000,4000 
105,104D»O»Èª÷¤s,61.10,0,2000,,106,104D»O»Èª÷¤s,61.50,0,10000 
107,1110¥ø    »È,60.20,0,1000,,108,1110¥ø    »È,61.20,0,1000 
109,1113¥ø»È¤E¦p,60.90,1000,0,,110,1113¥ø»È¤E¦p,61.80,0,1000 
111,1113¥ø»È¤E¦p,62.00,0,2000,,112,1114¥ø»È¹Å¸q,61.00,1000,0 
113,1114¥ø»È¹Å¸q,61.80,0,1000,,114,1114¥ø»È¹Å¸q,62.20,0,1000 
115,1115¥ø»È¤Ó¥­,60.30,1000,0,,116,1115¥ø»È¤Ó¥­,60.90,0,1000 
117,1115¥ø»È¤Ó¥­,61.80,0,1000,,118,1118¥ø»ÈÂ×­ì,60.60,5000,0 
119,1118¥ø»ÈÂ×­ì,61.20,0,10000,,120,1118¥ø»ÈÂ×­ì,61.70,15000,0 
121,1118¥ø»ÈÂ×­ì,62.00,2000,0,,122,111A¥ø»È¥Á¶¯,62.00,1000,0 
123,111B¥x¥ø«Ø¦¨,60.90,2000,0,,124,111B¥x¥ø«Ø¦¨,61.60,0,1000 
125,111B¥x¥ø«Ø¦¨,61.70,0,1000,,126,111B¥x¥ø«Ø¦¨,62.20,0,1000 
127,111E¥ø»È®ç¶é,60.70,0,2000,,128,111E¥ø»È®ç¶é,61.60,0,3000 
129,1160¤é    ²±,60.90,0,3000,,130,1160¤é    ²±,61.00,0,1000 
131,1160¤é    ²±,62.00,2000,0,,132,1161¤é²±©¾§µ,60.20,1000,0 
133,1161¤é²±©¾§µ,60.30,1000,0,,134,1161¤é²±©¾§µ,60.50,3000,0 
135,1161¤é²±©¾§µ,60.70,0,2000,,136,1161¤é²±©¾§µ,60.80,0,2000 
137,1161¤é²±©¾§µ,60.90,3000,0,,138,1161¤é²±©¾§µ,61.10,7000,0 
139,1161¤é²±©¾§µ,61.20,0,1000,,140,1161¤é²±©¾§µ,61.40,0,1000 
141,1161¤é²±©¾§µ,61.60,0,1000,,142,1161¤é²±©¾§µ,61.90,1000,5000 
143,1161¤é²±©¾§µ,62.20,0,5000,,144,1161¤é²±©¾§µ,62.30,3000,0 
145,1162¤é²±¥x«n,60.90,0,1000,,146,1162¤é²±¥x«n,61.40,1000,0 
147,1162¤é²±¥x«n,62.00,0,3000,,148,1162¤é²±¥x«n,62.10,0,3000 
