¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2421"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,61.50,1000,0,,2,1020¦X¡@¡@®w,62.10,1000,0 
3,1020¦X¡@¡@®w,62.20,2000,0,,4,1020¦X¡@¡@®w,62.50,1000,0 
5,1020¦X¡@¡@®w,62.60,0,1000,,6,1021¦X®w¥x¤¤,62.10,1000,0 
7,1021¦X®w¥x¤¤,62.20,1000,0,,8,1021¦X®w¥x¤¤,62.40,0,1000 
9,1022¦X®w¥x«n,61.70,2000,0,,10,1022¦X®w¥x«n,61.90,3000,0 
11,1022¦X®w¥x«n,62.00,1000,0,,12,1022¦X®w¥x«n,62.20,2000,1000 
13,1022¦X®w¥x«n,62.40,5000,0,,14,1022¦X®w¥x«n,62.60,1150,0 
15,1022¦X®w¥x«n,62.70,0,13000,,16,1023¦X®w°ª¶¯,61.80,1000,0 
17,1023¦X®w°ª¶¯,62.00,0,5000,,18,1023¦X®w°ª¶¯,62.10,0,5000 
19,1023¦X®w°ª¶¯,62.20,0,6000,,20,1023¦X®w°ª¶¯,62.30,1000,0 
21,1023¦X®w°ª¶¯,62.40,1000,0,,22,1023¦X®w°ª¶¯,62.50,0,10000 
23,1023¦X®w°ª¶¯,62.60,0,5000,,24,1023¦X®w°ª¶¯,63.50,0,10000 
25,1024¦X®w¹Å¸q,61.80,2000,0,,26,1025¦X®w°ò¶©,62.10,0,1000 
27,1028¦X®w¹ü¤Æ,61.50,0,1000,,28,1028¦X®w¹ü¤Æ,61.60,0,1000 
29,1028¦X®w¹ü¤Æ,61.90,2000,0,,30,1028¦X®w¹ü¤Æ,62.00,1000,0 
31,1028¦X®w¹ü¤Æ,62.10,2000,0,,32,1028¦X®w¹ü¤Æ,62.40,1000,0 
33,1029¦X®w»ñ¤s,62.10,1000,0,,34,1029¦X®w»ñ¤s,62.40,0,1000 
35,102A¦X®w·s¦Ë,61.80,1000,0,,36,102A¦X®w·s¦Ë,62.00,3000,0 
37,102A¦X®w·s¦Ë,62.40,1000,0,,38,102A¦X®w·s¦Ë,63.00,0,1000 
39,102C¦X®w¦Û±j,61.90,1000,0,,40,102C¦X®w¦Û±j,62.00,1000,0 
41,102C¦X®w¦Û±j,62.10,1000,0,,42,102C¦X®w¦Û±j,62.40,1000,0 
43,102C¦X®w¦Û±j,62.50,1000,0,,44,102C¦X®w¦Û±j,63.00,1000,0 
45,102E¦X®w®ç¶é,61.50,1000,0,,46,102E¦X®w®ç¶é,61.70,2000,0 
47,102E¦X®w®ç¶é,61.80,2000,0,,48,102E¦X®w®ç¶é,62.00,6000,0 
49,102E¦X®w®ç¶é,62.10,1000,0,,50,102E¦X®w®ç¶é,62.30,0,1000 
51,102E¦X®w®ç¶é,62.40,0,2000,,52,102E¦X®w®ç¶é,62.70,0,2000 
53,102F¦X®w¦è¥x,62.40,0,1000,,54,102F¦X®w¦è¥x,62.70,1000,0 
55,102G¦X®w¤T­«,61.90,1000,0,,56,102G¦X®w¤T­«,62.10,2000,0 
57,102G¦X®w¤T­«,62.20,1000,0,,58,1030¤g¡@¡@»È,62.40,1000,0 
59,1031¤g»È¥x¤¤,62.60,1000,0,,60,1033¤g»È°ª¶¯,61.80,1000,0 
61,1033¤g»È°ª¶¯,62.30,0,1000,,62,1033¤g»È°ª¶¯,62.80,0,1000 
63,1035¤g»È·s¦Ë,62.10,1000,0,,64,1035¤g»È·s¦Ë,62.50,1000,0 
65,1035¤g»È·s¦Ë,63.20,1000,0,,66,1037¤g»Èªá½¬,62.00,1000,0 
67,1038¤g»È©M¥­,61.50,1000,0,,68,103A¤g»È«Ø°ê,61.90,1000,0 
69,103B¤g»È¹ü¤Æ,62.50,1000,0,,70,1040»O    »È,61.50,1000,0 
71,1040»O    »È,61.60,1000,0,,72,1040»O    »È,61.70,1000,0 
73,1040»O    »È,62.70,1000,0,,74,1040»O    »È,63.00,1000,2000 
75,1041»O»È»ñ¤s,61.80,6000,0,,76,1041»O»È»ñ¤s,62.30,1000,0 
77,1041»O»È»ñ¤s,62.60,1000,0,,78,1041»O»È»ñ¤s,62.70,1000,0 
79,1041»O»È»ñ¤s,63.20,1000,0,,80,1042»O»È»O«n,61.60,1000,0 
81,1042»O»È»O«n,61.90,1000,0,,82,1042»O»È»O«n,62.10,1000,2000 
83,1042»O»È»O«n,62.20,1000,4000,,84,1042»O»È»O«n,62.30,4000,4000 
85,1042»O»È»O«n,62.40,3000,0,,86,1042»O»È»O«n,62.60,1000,1000 
87,1043»O»È¥ÁÅv,61.50,1000,0,,88,1043»O»È¥ÁÅv,62.00,2000,0 
89,1043»O»È¥ÁÅv,62.20,1000,0,,90,1043»O»È¥ÁÅv,62.30,0,1000 
91,1043»O»È¥ÁÅv,62.50,0,2000,,92,1045»O»È·s¦Ë,62.00,1000,0 
93,1045»O»È·s¦Ë,62.10,2000,0,,94,1045»O»È·s¦Ë,62.50,1000,0 
95,1045»O»È·s¦Ë,63.00,0,1000,,96,104A»O»È»O¤¤,62.10,2000,0 
97,104A»O»È»O¤¤,62.30,1000,1000,,98,104A»O»È»O¤¤,62.40,1000,0 
99,104A»O»È»O¤¤,62.60,0,1000,,100,104A»O»È»O¤¤,63.00,0,1000 
101,104C»O»È°ª¶¯,61.90,1000,0,,102,104C»O»È°ª¶¯,62.10,1000,0 
103,104C»O»È°ª¶¯,62.30,1000,0,,104,104C»O»È°ª¶¯,62.40,0,2000 
105,104C»O»È°ª¶¯,62.50,0,1000,,106,104D»O»Èª÷¤s,61.80,3000,0 
107,104D»O»Èª÷¤s,61.90,1000,0,,108,104D»O»Èª÷¤s,62.00,2000,0 
109,104D»O»Èª÷¤s,62.10,1000,1000,,110,104D»O»Èª÷¤s,62.20,1000,0 
111,104D»O»Èª÷¤s,62.60,0,1000,,112,104D»O»Èª÷¤s,62.90,0,1000 
113,1110¥ø    »È,62.00,1000,0,,114,1111¥ø»È¥x¤¤,61.80,2000,0 
115,1111¥ø»È¥x¤¤,62.20,1000,0,,116,1111¥ø»È¥x¤¤,62.30,3000,0 
117,1111¥ø»È¥x¤¤,62.40,1000,0,,118,1111¥ø»È¥x¤¤,62.80,1000,0 
119,1111¥ø»È¥x¤¤,63.00,1000,3000,,120,1111¥ø»È¥x¤¤,63.10,1000,2000 
121,1111¥ø»È¥x¤¤,63.20,1000,0,,122,1111¥ø»È¥x¤¤,63.40,1000,0 
123,1113¥ø»È¤E¦p,62.10,2000,0,,124,1113¥ø»È¤E¦p,62.90,1000,0 
125,1113¥ø»È¤E¦p,63.00,1000,0,,126,1114¥ø»È¹Å¸q,61.90,1000,0 
127,1114¥ø»È¹Å¸q,62.70,1000,0,,128,1115¥ø»È¤Ó¥­,62.00,0,1000 
129,1115¥ø»È¤Ó¥­,62.30,1000,0,,130,1115¥ø»È¤Ó¥­,62.50,1000,0 
131,1117¥ø»È¦Ë¥_,61.70,1000,0,,132,1117¥ø»È¦Ë¥_,62.30,1000,0 
133,1117¥ø»È¦Ë¥_,62.80,0,1000,,134,1118¥ø»ÈÂ×­ì,62.10,1000,0 
