¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2421"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,53.30,1000,0,,2,1020¦X¡@¡@®w,54.20,4000,0 
3,1020¦X¡@¡@®w,54.90,0,4000,,4,1021¦X®w¥x¤¤,53.10,2000,0 
5,1021¦X®w¥x¤¤,53.60,1000,0,,6,1021¦X®w¥x¤¤,53.70,1000,0 
7,1021¦X®w¥x¤¤,54.00,2000,0,,8,1021¦X®w¥x¤¤,54.30,0,1000 
9,1021¦X®w¥x¤¤,54.60,1000,0,,10,1022¦X®w¥x«n,54.40,0,5000 
11,1022¦X®w¥x«n,54.50,0,1000,,12,1023¦X®w°ª¶¯,53.60,0,12000 
13,1023¦X®w°ª¶¯,54.20,0,1000,,14,1023¦X®w°ª¶¯,54.30,0,2000 
15,1023¦X®w°ª¶¯,54.50,0,5000,,16,1028¦X®w¹ü¤Æ,54.20,0,1000 
17,1028¦X®w¹ü¤Æ,54.30,0,1000,,18,1029¦X®w»ñ¤s,54.50,0,1000 
19,102C¦X®w¦Û±j,54.00,0,1000,,20,102E¦X®w®ç¶é,52.80,0,1000 
21,102E¦X®w®ç¶é,54.00,1000,0,,22,102E¦X®w®ç¶é,54.30,0,4000 
23,102E¦X®w®ç¶é,54.80,4000,0,,24,102F¦X®w¦è¥x,53.00,1000,0 
25,102F¦X®w¦è¥x,53.50,0,1000,,26,102F¦X®w¦è¥x,53.80,2000,0 
27,102F¦X®w¦è¥x,54.20,0,3000,,28,102F¦X®w¦è¥x,54.30,0,1000 
29,102F¦X®w¦è¥x,54.40,0,3000,,30,102F¦X®w¦è¥x,54.50,0,1000 
31,102G¦X®w¤T­«,54.10,0,1000,,32,102G¦X®w¤T­«,54.40,1000,10000 
33,1031¤g»È¥x¤¤,53.90,0,1000,,34,1032¤g»È¥x«n,54.90,0,1000 
35,1035¤g»È·s¦Ë,53.30,1000,0,,36,1036¤g»È¥É¨½,53.50,0,1000 
37,1037¤g»Èªá½¬,53.00,1000,0,,38,103A¤g»È«Ø°ê,53.50,0,1000 
39,103B¤g»È¹ü¤Æ,54.00,0,1000,,40,103B¤g»È¹ü¤Æ,54.20,0,1000 
41,1040»O    »È,53.60,0,10000,,42,1040»O    »È,53.70,0,10000 
43,1040»O    »È,54.00,3000,0,,44,1040»O    »È,54.20,1000,0 
45,1040»O    »È,54.50,0,3000,,46,1041»O»È»ñ¤s,53.60,1000,0 
47,1041»O»È»ñ¤s,54.30,1000,0,,48,1041»O»È»ñ¤s,54.40,5000,0 
49,1042»O»È»O«n,53.30,1000,0,,50,1042»O»È»O«n,53.50,0,1000 
51,1042»O»È»O«n,53.60,1000,0,,52,1042»O»È»O«n,54.20,0,1000 
53,1042»O»È»O«n,54.40,0,1000,,54,1042»O»È»O«n,54.50,0,1000 
55,1042»O»È»O«n,54.80,0,1000,,56,1043»O»È¥ÁÅv,53.50,0,2000 
57,1043»O»È¥ÁÅv,53.60,0,10000,,58,1043»O»È¥ÁÅv,54.20,1000,2000 
59,1043»O»È¥ÁÅv,54.30,0,1000,,60,1043»O»È¥ÁÅv,54.40,0,1000 
61,1043»O»È¥ÁÅv,54.70,0,1000,,62,1045»O»È·s¦Ë,53.60,0,2000 
63,1045»O»È·s¦Ë,54.40,0,6000,,64,1045»O»È·s¦Ë,54.50,0,3000 
65,1045»O»È·s¦Ë,54.60,0,1000,,66,1045»O»È·s¦Ë,54.80,2000,0 
67,1045»O»È·s¦Ë,54.90,0,3000,,68,104A»O»È»O¤¤,53.30,0,1000 
69,104A»O»È»O¤¤,53.40,0,1000,,70,104A»O»È»O¤¤,53.60,0,1000 
71,104A»O»È»O¤¤,54.00,2000,0,,72,104A»O»È»O¤¤,54.10,1000,3000 
73,104A»O»È»O¤¤,54.20,2000,0,,74,104A»O»È»O¤¤,54.30,0,5000 
75,104A»O»È»O¤¤,54.40,0,4000,,76,104A»O»È»O¤¤,54.60,1000,0 
77,104A»O»È»O¤¤,54.70,0,1000,,78,104C»O»È°ª¶¯,53.70,1000,0 
79,104C»O»È°ª¶¯,53.80,0,1000,,80,104C»O»È°ª¶¯,54.00,0,1000 
