¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2421"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,59.00,2000,0,,2,1020¦X¡@¡@®w,59.10,1000,0 
3,1020¦X¡@¡@®w,59.20,0,2000,,4,1020¦X¡@¡@®w,59.70,4000,0 
5,1020¦X¡@¡@®w,59.90,2000,0,,6,1020¦X¡@¡@®w,60.70,1000,0 
7,1020¦X¡@¡@®w,60.80,1000,0,,8,1020¦X¡@¡@®w,61.50,1000,0 
9,1020¦X¡@¡@®w,62.00,1000,1000,,10,1020¦X¡@¡@®w,62.20,2000,0 
11,1020¦X¡@¡@®w,63.80,1000,0,,12,1020¦X¡@¡@®w,64.40,1000,0 
13,1020¦X¡@¡@®w,64.70,1000,0,,14,1020¦X¡@¡@®w,65.00,1000,0 
15,1020¦X¡@¡@®w,65.20,3000,0,,16,1020¦X¡@¡@®w,65.40,1000,0 
17,1020¦X¡@¡@®w,65.50,1000,10000,,18,1021¦X®w¥x¤¤,59.00,2000,1000 
19,1021¦X®w¥x¤¤,59.10,1000,0,,20,1021¦X®w¥x¤¤,61.80,1000,1000 
21,1021¦X®w¥x¤¤,62.20,1000,0,,22,1021¦X®w¥x¤¤,62.50,1000,0 
23,1022¦X®w¥x«n,59.00,1000,0,,24,1022¦X®w¥x«n,59.30,2000,0 
25,1022¦X®w¥x«n,62.10,0,1000,,26,1022¦X®w¥x«n,64.90,1000,0 
27,1023¦X®w°ª¶¯,59.50,0,1000,,28,1023¦X®w°ª¶¯,59.80,1000,0 
29,1023¦X®w°ª¶¯,60.30,0,1000,,30,1023¦X®w°ª¶¯,62.50,2000,0 
31,1023¦X®w°ª¶¯,64.00,7000,0,,32,1023¦X®w°ª¶¯,64.50,1000,0 
33,1023¦X®w°ª¶¯,64.70,1000,0,,34,1023¦X®w°ª¶¯,65.00,0,2000 
35,1024¦X®w¹Å¸q,59.00,2000,0,,36,1024¦X®w¹Å¸q,59.20,2000,0 
37,1024¦X®w¹Å¸q,62.00,2000,0,,38,1024¦X®w¹Å¸q,62.10,1000,0 
39,1024¦X®w¹Å¸q,62.80,2000,0,,40,1024¦X®w¹Å¸q,64.00,2000,0 
41,1024¦X®w¹Å¸q,64.10,2000,0,,42,1028¦X®w¹ü¤Æ,60.60,0,1000 
43,1028¦X®w¹ü¤Æ,61.90,1000,0,,44,1028¦X®w¹ü¤Æ,62.30,0,2000 
45,1028¦X®w¹ü¤Æ,64.50,0,2000,,46,1029¦X®w»ñ¤s,59.10,0,1 
47,1029¦X®w»ñ¤s,62.50,1000,0,,48,102A¦X®w·s¦Ë,59.00,5000,2000 
49,102A¦X®w·s¦Ë,62.40,1000,1000,,50,102A¦X®w·s¦Ë,62.80,1000,0 
51,102A¦X®w·s¦Ë,62.90,1000,0,,52,102A¦X®w·s¦Ë,64.30,0,1000 
53,102C¦X®w¦Û±j,59.00,1000,0,,54,102C¦X®w¦Û±j,59.40,1000,0 
55,102C¦X®w¦Û±j,60.20,1000,0,,56,102C¦X®w¦Û±j,61.40,0,6000 
57,102C¦X®w¦Û±j,61.50,1000,3000,,58,102C¦X®w¦Û±j,62.90,1000,0 
59,102C¦X®w¦Û±j,63.60,1000,0,,60,102C¦X®w¦Û±j,64.00,0,2000 
